"ticket_no","name","ticket_title","description_plain","comments","solution"
T000019,,,One employee transaction data was not transferred in Pipalstrong.,Take System Remote Access And Check One Employee's Details And Spreadsheet And ThiradParty Configuration Check And Third-Party Transaction Log file Check And Employee Transaction  Found In DateWise File And No Issue From Spectra Side Torrent Team Need To Check With Pipal Strong ,Take System Remote Access And Check One Employee's Details And Spreadsheet And ThiradParty Configuration Check And Third-Party Transaction Log file Check And Employee Transaction Found In DateWise File And No Issue From Spectra Side Torrent Team Need To Check With Pipal Strong
T000020,,,The duplicate entry is shown in Visitor Summary Report New,"Take System Remote Access And  New Version Update 305 (The duplicate entry is shown in Visitor Summary Report New) Report Issue Resolved

","Take System Remote Access And New Version Update 305 (The duplicate entry is shown in Visitor Summary Report New) Report Issue Resolved

"
T000021,,,"Uploaded photo is not showing properly while checking in from Gate-PC, photos should appear perfectly aligned.",Take System Remote Accees And Update HTML (C:\Program Files (x86)\Spectra\iApp\Web\Areas\MVC\Views\VMSInoutClose) And Update inoutclosevisit.cshtml And Reported issue has been resolved,Take System Remote Accees And Update HTML (C:\Program Files (x86)\Spectra\iApp\Web\Areas\MVC\Views\VMSInoutClose) And Update inoutclosevisit.cshtml And Reported issue has been resolved
T000022,,,Device is not communicating to network.,done,resolved
T000023,iApp,,The iApp is crashing.,update package,resyart service
T000023,iApp,,The iApp is crashing.,need client support.,resyart service
T000023,iApp,,The iApp is crashing.,test,resyart service
T000024,iApp,,test problem,first activity,
T000024,iApp,,test problem,testactivity,
T000024,iApp,,test problem,test activity,
T000024,iApp,,test problem,test,
T000025,,,Cross Punching Issue In FaceScribe Machine,Client Remote Access Not Shared,Development didn't find any problem and client will let me know if client face it again same issue
T000025,,,Cross Punching Issue In FaceScribe Machine,Client Remote Access Not Shared,Development didn't find any problem and client will let me know if client face it again same issue
T000025,,,Cross Punching Issue In FaceScribe Machine,Take System Remote Access And Employee Details Check And Card Inventory Check And FaceScribe Portal Login and Logs Check and Case Forwarded To Ronak,Development didn't find any problem and client will let me know if client face it again same issue
T000025,,,Cross Punching Issue In FaceScribe Machine,Development didn't find any problem and client will let me know if client face it again same issue,Development didn't find any problem and client will let me know if client face it again same issue
T000026,,,ARSBrowser Open Time Error 500,Take Server System Remote Access And IIS Settings Check And  Application Pole New Create And IIS Reset And ARSBrowser Now Working,"Step 1 - IIS Open
Step 2 - ARSBrowser Configuration Check
Step 3 - Application Pool New Create
Step 4 - And IIS Reset
Step 5 - ARSBrowser Browse And Site Now Working Properly"
T000027,,,Some error regarding face scribe,client not pik up the call ,Rishi is working on this case.
T000027,,,Some error regarding face scribe,client not pik up the call ,Rishi is working on this case.
T000027,,,Some error regarding face scribe,We are waiting for client reply ,Rishi is working on this case.
T000027,,,Some error regarding face scribe,We are waiting for client reply ,Rishi is working on this case.
T000027,,,Some error regarding face scribe,We are waiting for client reply ,Rishi is working on this case.
T000027,,,Some error regarding face scribe,Rishi is working on this case.,Rishi is working on this case.
T000028,,,All Device Offline,Take Server System Remote Access And Device Network Connectivity Check And Check Services Logs And Spectra Worker Service Start And Now All Devices Online,"Step 1 - Take Server System Remote Access 
Step 2 - Device Network Connectivity Check 
Step 3 - Check Services Logs 
Step 4 - Spectra Worker Service Start 
Step 5 - Now All Devices Online"
T000029,,,There was an issue with pages not updating on the iApp server.,pages update on iapp server and report level issue check is done,Pages update on IAPPS then after payroll file generation report related issues resolved.
T000030,,,Software,We are waiting for client response. ,"We had done this activity, "
T000030,,,Software,We are waiting for client response. ,"We had done this activity, "
T000030,,,Software,We had done this activity,"We had done this activity, "
T000031,,,Email Send Issue,Join Teams Meetings And Email Configuration Check With IT Team And Discuss Check SMTP Connectivity And Mail Activity To Client,"Since there is no response/action from Client's end, we are closing the ticket. 
Client's may raise the concern if you still facing the issue.

"
T000031,,,Email Send Issue,SMTP Connectivity Issue (Ultratech IT Team Working),"Since there is no response/action from Client's end, we are closing the ticket. 
Client's may raise the concern if you still facing the issue.

"
T000031,,,Email Send Issue,"Since there is no response/action from Client's end, we are closing the ticket.

Client's may raise the concern if you still facing the issue.","Since there is no response/action from Client's end, we are closing the ticket. 
Client's may raise the concern if you still facing the issue.

"
T000038,ARSWin-Net,,One Device Data Download Issue,"Take System Remote Access And Device Network Check And Check Reader Connectivity Check And Data Downloading Exe Restart 

","Step - 1 Take System Remote Access 
Step - 2 Check Device Network Connectivity (If Network Connectivity is Not Established coordinate with the client IT team For network connectivity)
Step - 3 If network connectivity is established check the reader status
Step - 4 Data download exe restart and start Download
Step - 5 Data Downloading Started And Issue Resolved"
T000039,,,Master Finger Register Issue,"Take System Remote Access And Controller Setup(Finger Enable) And Get All Finger In Software And Delete All  Finger And Clear All Data And Master Finger Registered And Set Finger In Machine And Data Dump In Machine And Issue Resolved
","Step 1 - Take System Remote Access 
Step 2 - Controller Setup(Finger Enable) 
Step 3 - Get All Finger In Software 
Step 4 - Delete All  Finger 
Step 5 - Clear All Data In the Machine 
Step 6 -  Master Finger Registered 
Step 7 - Set Finger In Machine 
Step 8 - Data Dump In Machine 
Step 9 - Issue Resolved
"
T000040,iApp,,Health Status Report for iApp Biometric application,Prepare Report and share to SBIC ,Prepare a DR Status report for SBIC.
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,Today i am  pre assign in Biot call so with client confirmation over call they will connect on Monday.,"We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,Today i am  pre assign in Biot call so with client confirmation over call they will connect on Monday.,"We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,"We have called user and found that on device user is not able to access by cards,
We have asked him to configured this device in application and we will set card format to check.","We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,"As discussed over a call , client will receive the device from another location and then configure it.

","We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,We have called user they will provide remote on their convenience time.,"We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,client will provide server remote after 10 minutes.,"We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,client will provide server remote after 10 minutes.,"We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,We have sent a mail to provide a remote.,"We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,We have mailed user to provide remote connection.,"We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000041,,,Issue :Unable to Push the data in the new added machine please check and provide a solution. Solution : Zoom meeting for remote access and guided to push data,"We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket.","We have called many times to client for the resolution of this issue but client is not providing remote at all and some of task need to perform from their end but they are not willing to do it.
So for now on we are closing this ticket."
T000043,,,"Issue : Employee data not moving from SF to Spectra in case of new hire & the changes which are designed for delta update. This was happening from last four months & we are doing all transactions in both applications manually. Solution :According to our development team and the screenshot below, the Spectra API is ready to receive data from Success Factor, however we have not yet discovered any data from SF. API Call link :https://spectra.mankindpharma.com:83/iapp/spectraServiceWebHostNew.svc To fix the problem with API data coming from the SuccessFactor application, we upgraded the version of the iApp.If possible, please verify.",wrongly ticket created,wrongly ticket created
T000044,iApp,,Duplicate records appear in Visitor summary report,Check and  found there is id mis matched in table ,Update new spectrabl.dll 
T000045,,,Main Entrance door -Biostamp 2C: Power Issue Visit has been done on Saturday by Raj Patel,"Main Entrance door -Biostamp 2C: Power Issue 
Visit has been done on Saturday by Raj Patel","Main Entrance door -Biostamp 2C: Power Issue 
Visit has been done on Saturday by Raj Patel"
T000053,,,Leave balance add through the back hand,We have update all leave closing balance through the back end to all off employee. ,We have update all leave closing balance through the back end to all off employee. 
T000054,,,Leave Balance Add Issue,Take System Remote Access And Leave Grant Opening and Leave Balance Added For New Joining Employee,"Step 1 - Take System Remote Access
Step 2 - Leave Grant Opening Page Open And Department Select And Employee Select And Leave Balance Update And Click On Update And Issue Resolved"
T000055,iApp,,"We marked employee as Inactive in the System, but he was retained so please do the active from the backend.","We checked the employee status, its relived. We can rejoin the employee from the front end,  back end option is not available for active the employee.


","We checked the employee status, its relived. We can rejoin the employee from the front end,  back end option is not available for active the employee.


"
T000056,iApp,,HSE Training Integration with iApp,Understand requirement with Cairn HES Team,
T000057,,,Data Download Issue,Take System Remote Access And Datafile Generation Exe start And All Data Transferred In ThiradParty LogFile,Take System Remote Access And Datafile Generation Exe start And All Data Transferred In ThiradParty LogFile
T000058,,,Payroll regarding,We configured update pay roll field in utility > update pay roll to all location one by one ,We configured update pay roll field in utility > update pay roll to all location one by one 
T000059,,,"2 Layer User Hierarchy Assign Issue",Take System Remote Access And Hierarchy Create And UserHierarchy Assign To Employee,"Step 1 - Take System Remote Access 
Step 1 - Hierarchy Create 
Step 1 - UserHierarchy Assign To Employee (Primary Approver / AlternateApprover)"
T000060,ARSWin-Net,,collation error,"We checked the error and ask for database access.
Once their IT person is available they will share a remote.",we take backup and and change the collation in company.
T000060,ARSWin-Net,,collation error,As per the telephonic discussion their is some cabling issue so suggest them to fix that first.,we take backup and and change the collation in company.
T000060,ARSWin-Net,,collation error,we take backup and and change the collation in company.,we take backup and and change the collation in company.
T000061,,,"1. Auto Triggering of mail to employees on absent status (weekly & monthly). 2. How to check whether the employee has attached a medical certificate or not. 3. CL, SL, PL clubbing. 4. SL and PL can be combined. CL cannot be combined with any other leave. Employee applies for 5 days of PL from Monday to Friday and again on Monday, he applies for CL. How the system can take.","Connect Teams Meetings 
(1)Configure Notifications in iApp - Employee Unregularized Attendance On Weekly Base.
(2)Medical Certificate View Showcased To Mr. Ganesh Krishna Swamy Sir In Sanction Application Page.
(3 & 4)Leave Group Changes For Clubbing rule.","Connect Teams Meetings 
(1)Configure Notifications in iApp - Employee Unregularized Attendance On Weekly Base.
(2)Medical Certificate View Showcased To Mr. Ganesh Krishna Swamy Sir In Sanction Application Page.
(3 & 4)Leave Group Changes For Clubbing rule."
T000062,,,"1 Employee Punch Not Show In Client System",Take System Remote Access And Face Scribe Portal Open And Face Added In Old CardID This Way Employee Data Not Shown In iApp And Face Registered In New Card ID And Issue Resolved,Take System Remote Access And Face Scribe Portal Open And Face Added In Old CardID This Way Employee Data Not Shown In iApp And Face Registered In New Card ID And Issue Resolved
T000063,,,Punching Issue In Machine,"Take System Remote Access And Device Network Connectivity Check And Controller Select and Data Dump In Machine And Now User Able To Punch In Machine
Call Time (11:40 To 12:00)","Step 1 - Take System Remote Access 
Step 2 -  Device Network Connectivity Check 
Step 3 - Controller Select And Data Dump In Machine 
Step 4 - Now The User Able To Punch In the Machine And Issue Resolved And Mail Activity To Client"
T000064,,,Duplicate CardID Shown In Access Assign Page,"Connect Teams Meetings Link And Duplicate CardID Delete In Tcp_EMP Table And Assign Reader Access To Employee And Now Employee Name Shown Properly And Issue Resolved
And One Employee Rejoin (Database Changes In Emp Table And CardID Update And Resdate Update) And Employee Join And Reader Access Assign to Employee","Connect Teams Meetings Link And Duplicate CardID Delete In Tcp_EMP Table And Assign Reader Access To Employee And Now Employee Name Shown Properly And Issue Resolved
And One Employee Rejoin (Database Changes In Emp Table And CardID Update And Resdate Update) And Employee Join And Reader Access Assign to Employee"
T000065,,,User Rights Disable In Software,Connect Teams Meetings And Click On Files - System Management - User Rights Add-In Users And Now User Able To Access Software,Connect Teams Meetings And Click On Files - System Management - User Rights Add-In Users And Now User Able To Access Software
T000066,,,Join UAT for new Customization today!,UAT Completed,UAT Completed
T000067,,,Assign Access Time Command Pending,Take System Remote Access And DB Changes (DownloadDocument Table Clear/Pending Command Delete And DeviceUtilityStatus Table Clear) And Spectra Service Restart And Assign Access To User And Now all Command Successfully Excecated In Machine And Mail Activity To Client,"Take System Remote Access And DB Changes (DownloadDocument Table Clear/Pending Command Delete And DeviceUtilityStatus Table Clear) And Spectra Service Restart And Assign Access To User And Now all Command Successfully Excecated In Machine And Mail Activity To Client

"
T000068,,,Report a Generate Time Error,"Take System Remote Access And ARSWinReport.dll/SalaryDBase.dll/NetServer.dll DLL Registered In 2 PC And Report Generated
And Download Auto startup Disable In User Login","Step 1 - Take System Remote Access
Step 2 - Open Software And Check Error First (Error Issue ARSWinReport.dll/SalaryDBase.dll/NetServer.dll DLL Not Registered) And Software Log Out 
Step 3 -  Open CMD Run As Administrator And ARSWinReport.dll/SalaryDBase.dll/NetServer.dll DLL Registered
Step 4 - Software Login And Now Report Generated

DLL Register Command Snap Add For Ready Reference
"
T000069,,,The device punch isn't working in the IAPP.,"spectra worker services restart then after all device in working and mail setup check and updated then after mail sent done
","Restart the spectra services, then check that all devices are working and that the mail setup is updated. Once that is done, send the mail."
T000070,,,All Device Offline,"Take Server System Remote Access And  Spectra Worker Process Services Some Changes
1. Go to Administrative Tools - Services
2. Right Click ""Computer Browser"" then Properties
3. Click on the Recovery tab, set the following:
First Failure = Restart the the Service
Second Failure = Restart the the Service
Subsequent Failures = Restart the the Service
Reset Fail count After = 120
Restart Service after = 0
4. Click Ok

And Services Logs check And Windows Event Logs Check And Issue Error Find In Event Viewer Below Is the Error
Faulting application name: SpectraWorker.exe, version: 3.0.0.29, time stamp: 0x6411c258
Faulting module name: clr.dll, version: 4.7.3620.0, time stamp: 0x5e7d1e55
Exception code: 0xc00000fd
Fault offset: 0x004557dd
Faulting process id: 0x5b4
Faulting application start time: 0x01d9bf7f5b1cc96a
Faulting application path: C:\Program Files (x86)\Spectra\iApp\Services\SpectraWorker.exe
Faulting module path: C:\Windows\Microsoft.NET\Framework\v4.0.30319\clr.dll
Report Id: 7593557a-6cd4-400c-9725-66a277b59fa5
Faulting package full name: 
Faulting package-relative application ID: 

And Case forwarded To Javedbhai
","Spectra Worker Process Service Start 
And Discuss With Javedbhai and no issue was found in the services logs. And Mail Activity To the Client

"
T000070,,,All Device Offline,Case forwarded To Javedbhai,"Spectra Worker Process Service Start 
And Discuss With Javedbhai and no issue was found in the services logs. And Mail Activity To the Client

"
T000070,,,All Device Offline,"Discuss With Javedbhai and no issue was found in the services logs.
And Mail Activity To Client","Spectra Worker Process Service Start 
And Discuss With Javedbhai and no issue was found in the services logs. And Mail Activity To the Client

"
T000071,,,Report a level issue.,new shift policy created for new location and assign to all employee and report level issue resolved ,A new shift policy has been created for the new location and all employees have been assigned. any report level issues have been resolved.
T000072,,,Command Execute Issue In 1 Machine,"Take System Remote Access And Clear DownloadDocument Table Clear And MachineData Pending Data Delete And Command Executed In Machine And Old Card ID Face Delete In FaceScribe Portal And DB Changes In Transaction Data Table and Communicator Exe Restart And Issue Resolved
Call Close Date - 28 July 
Call Close Time - 10:00 To 11:00",Take System Remote Access And Clear DownloadDocument Table Clear And MachineData Pending Data Delete And Command Executed In Machine And Old Card ID Face Delete In FaceScribe Portal And DB Changes In Transaction Data Table and Communicator Exe Restart And Issue Resolved
T000075,,,Canteen transaction not found after 12:35 PM on 25-07-2023.,take remote connection and transaction check for found in our iapp and then data log file copied and recover3s folder created and logextract.exe run and found missing transactions and then recovered transaction check and informed to client for canteen transaction issue resolved,take remote connection and transaction check for found in our iapp and then data log file copied and recover3s folder created and logextract.exe run and found missing transactions and then recovered transaction check and informed to client for canteen transaction issue resolved
T000076,iApp,,License Summary,Share license summary from iApp,
T000077,iApp,,URGENT ATTENTION REQUIRED: Please check how these emails are going from my ID. I have not sent any mail like that to anyone. This mail is going to a lot of people from my ID.,"We have not any id configured ""SBIC Integration Admin <nidhi.bawa@sbicard.com>"" in e attendance application.","We have not any id configured ""SBIC Integration Admin <nidhi.bawa@sbicard.com>"" in e attendance application."
T000078,iApp,,The average hours should be the same on the Employee Self-Service and Employee chat bot systems.,Share Avenge work calculation to SBIC team ,
T000078,iApp,,The average hours should be the same on the Employee Self-Service and Employee chat bot systems.,Checked all parameters,
T000078,iApp,,The average hours should be the same on the Employee Self-Service and Employee chat bot systems.,discussion done ,
T000078,iApp,,The average hours should be the same on the Employee Self-Service and Employee chat bot systems.,discussion done,
T000078,iApp,,The average hours should be the same on the Employee Self-Service and Employee chat bot systems.,Microsoft SQL  Services could stop Restarting the server system was done.,
T000078,iApp,,The average hours should be the same on the Employee Self-Service and Employee chat bot systems.,"",
T000079,iApp,,UAT for Time Entries and Absent Requests.,Performed all taste cases.,"Performed all taste cases.

"
T000080,No Touch Switch,,The device does not accept the punches.,Checked all parameters ,The issue has been resolved as supported by Milan Sir.
T000080,No Touch Switch,,The device does not accept the punches.,Logged in the web portal of device.  Requested client to Enable port 1883,The issue has been resolved as supported by Milan Sir.
T000080,No Touch Switch,,The device does not accept the punches.,Updated MQQT server IP.,The issue has been resolved as supported by Milan Sir.
T000080,No Touch Switch,,The device does not accept the punches.,Issue resolved as supported by MIlan Sir,The issue has been resolved as supported by Milan Sir.
T000082,iApp,,change the IP Current IP:- 172.16.1.191 New IP:- 172.17.0.200,we changed the IP through boot loader,we changed the IP through boot loader
T000084,,,"Issue :Attendance not display for transfer location case solution :check location id in below tables Alluser ,empmaster matched check shift id in attdmain and attddetails not matched swap shift and assign same shift pattern and issue resolved.",check location id in below tables,check location id in below tables
T000085,iApp,,Employee master Integration issue,Check and Web log file for Index out of bound error,
T000085,iApp,,Employee master Integration issue,Checked Integration Logs.,
T000085,iApp,,Employee master Integration issue,discussion done ,
T000085,iApp,,Employee master Integration issue,done,
T000086,,,FaceScribe Machine Punching Issue,Take Server System Remote Access And DB Changes(Clear DownloadDocument Table/Delete Pending Commands) And Communicator Exe Restart And Employee FaceRegister And Now User Able To Pucnh In Machine And ARSWin-Net New USer Create And Rights Assign To Users,"Step 1 - Take Server System Remote Access 
Step 2 - DB Changes(Clear DownloadDocument Table/Delete Pending Commands)
Step 3 - Communicator Exe Restart 
Step 4 - Employee FaceRegister And Now User Able To Pucnh In Machine 
And ARSWin-Net New USer Create And Rights Assign To Users"
T000087,,,All point discussion,"We Discuussed reagdind ticket number 1032,1033,1034 and some other point. ","We Discussed regarding ticket number 1032,1033,1034 and some other point."
T000087,,,All point discussion,We are working on it. ,"We Discussed regarding ticket number 1032,1033,1034 and some other point."
T000087,,,All point discussion,"We Discussed regarding ticket number 1032,1033,1034 and some other point.","We Discussed regarding ticket number 1032,1033,1034 and some other point."
T000088,iApp,,VMS Registration is not working due to an error with the unique key constraint.,Update Sequence in DB and IIS reset,"Update Sequence in DB and IIS reset

"
T000089,iApp,,Card inventory issue,update new version,Update new build of iapp vesrion
T000090,NetXsControl Ent.,,One of our employee who has registered in system recently having issue in punch in -out .,we checked the finger templates. again register the new finger and save and made sample punch. issue resolved.,we checked the finger templates. again register the new finger and save and made sample punch. issue resolved.
T000091,,,Require assign access and remove access date wise separate report,Report generation process guided ,Report generation process guided 
T000094,,,"Issue : the Biometric access card is working but fingerprint access is not working Snapshot attached for your reference. Solution :check and found device in bootloader ,restart the device and resolved","Solution :check and found device  in bootloader ,restart the device and resolved ","Solution :check and found device  in bootloader ,restart the device and resolved "
T000095,,,"Allan Support Call : Data not display in third party DB Solution : check and not found data in NSData ,date log and third party DB. informed client to stop downloading from Task Manager ,still count not increase, guided to find system and stop downloading exe",Assign to milan.,issue closed 
T000095,,,"Allan Support Call : Data not display in third party DB Solution : check and not found data in NSData ,date log and third party DB. informed client to stop downloading from Task Manager ,still count not increase, guided to find system and stop downloading exe",issue closed ,issue closed 
T000096,BioStamp 2C,,our biometric device seems to be experiencing same issues. It's been acting up lately and we're concerned it might not work properly.,as per telephonic discussion we suggested them to sent the device to service center.,as per telephonic discussion we suggested them to sent the device to service center.
T000097,iApp,,invalid card error,checked the shift pattern and add the other shift and checked issue resolved.,checked the shift pattern and add the other shift and checked issue resolved.
T000098,iApp,,We received the attendance but in some of them time out setting is missing.,"The main door out device is not connected to the network, according to our inspection. Please check .","The main door out device is not connected to the network, according to our inspection. Please check ."
T000099,BioScribe 2C,,"As per trailing mail, in June month Spectra Team updated the firmware of one of the Spectra Device at Vizag location for CSN Mode issue. After that we haven’t noticed CSN Mode issue. But recently we noticed that particular device (mounted inside the Vizag Server room) is getting hang. It happened 3 to 4 times in last few days. As of now we are restarting the device to bring it up.",we checked the firmware and still issue occur we suggested them to sent the device to service center.,device received.
T000099,BioScribe 2C,,"As per trailing mail, in June month Spectra Team updated the firmware of one of the Spectra Device at Vizag location for CSN Mode issue. After that we haven’t noticed CSN Mode issue. But recently we noticed that particular device (mounted inside the Vizag Server room) is getting hang. It happened 3 to 4 times in last few days. As of now we are restarting the device to bring it up.",waiting for faulty device.,device received.
